T,W,SR,DSP,DRH,PanE,,,,,,,,
0.756906077,0.580298708,0.79724115,0.35,0.753424658,0.662790698,,,0.569060773,0.606981037,0.35549277,0.2,0.835616438,0.40653009
0.696132597,0.370028528,0.808376267,0.4,0.739726027,0.581395349,,,0.651933702,0.449572076,0.886820675,0.35,0.657534247,0.710326315
0.64640884,0.398388991,0.614591989,0.5,0.712328767,0.488372093,,,0.563535912,0.464843094,0.226026259,0.35,0.931506849,0.220960578
0.674033149,0.315824803,0.47714808,0.45,0.821917808,0.325581395,,,0.64640884,0.530625944,0.912414825,0.45,0.684931507,0.73916748
0.756906077,0.350897802,0.746883829,0.3,0.739726027,0.569767442,,,0.701657459,0.426581641,0.818181818,0.15,0.780821918,0.627092214
0.790055249,0.454942104,0.628552435,0.4,0.726027397,0.546511628,,,0.806629834,0.420540359,0.739903606,0.2,0.726027397,0.643133055
0.685082873,0.476254405,0.648163537,0.2,0.753424658,0.523255814,,,0.82320442,0.389830508,0.816852252,0.2,0.767123288,0.651813814
0.635359116,0.532136264,0.664284527,0.4,0.643835616,0.581395349,,,0.784530387,0.373888236,0.8976234,0.2,0.753424658,0.680123849
0.657458564,0.417351905,0.761841449,0.5,0.726027397,0.558139535,,,0.773480663,0.504614868,0.805717135,0.3,0.767123288,0.677945249
0.685082873,0.532136264,0.707661625,0.4,0.767123288,0.523255814,,,0.762430939,0.421211613,0.864051853,0.35,0.753424658,0.671050351
0.685082873,0.446551435,0.575037394,0.3,0.849315068,0.38372093,,,0.756906077,0.580298708,0.79724115,0.35,0.753424658,0.707272461
0.718232044,0.437321698,0.214392554,0.4,0.97260274,0.151162791,,,0.696132597,0.370028528,0.808376267,0.4,0.739726027,0.604892342
0.729281768,0.41214969,0.279208908,0.5,0.931506849,0.186046512,,,0.64640884,0.398388991,0.614591989,0.5,0.712328767,0.515299411
0.64640884,0.373888236,0.413162706,0.4,0.876712329,0.26744186,,,0.674033149,0.315824803,0.47714808,0.45,0.821917808,0.364579825
0.679558011,0.431112603,0.650822669,0.4,0.835616438,0.430232558,,,0.756906077,0.350897802,0.746883829,0.3,0.739726027,0.588750556
0.762430939,0.37606981,0.582350008,0.35,0.890410959,0.360465116,,,0.790055249,0.454942104,0.628552435,0.4,0.726027397,0.588938325
0.624309392,0.415170331,0.485624065,0.45,0.780821918,0.337209302,,,0.685082873,0.476254405,0.648163537,0.2,0.753424658,0.571260458
0.662983425,0.382950159,0.282366628,0.35,0.753424658,0.26744186,,,0.635359116,0.532136264,0.664284527,0.4,0.643835616,0.636047809
0.662983425,0.524416848,0.434601961,0.4,0.698630137,0.406976744,,,0.657458564,0.417351905,0.761841449,0.5,0.726027397,0.593552895
0.674033149,0.540526934,0.095894964,0.35,0.97260274,0.11627907,,,0.685082873,0.532136264,0.707661625,0.4,0.767123288,0.609894089
0.812154696,0.204900151,0.304636862,0.45,0.506849315,0.38372093,,,0.685082873,0.446551435,0.575037394,0.3,0.849315068,0.468041108
0.574585635,0.344017453,0.357320924,0.6,0.808219178,0.220930233,,,0.718232044,0.437321698,0.214392554,0.4,0.97260274,0.226818302
0.662983425,0.168988085,0.413495097,0.65,0.260273973,0.5,,,0.729281768,0.41214969,0.279208908,0.5,0.931506849,0.267692204
0.44198895,0.312636348,0.387734752,0.55,0.630136986,0.290697674,,,0.64640884,0.373888236,0.413162706,0.4,0.876712329,0.324529363
0.447513812,0.256083235,0.326242313,0.4,0.767123288,0.186046512,,,0.679558011,0.431112603,0.650822669,0.4,0.835616438,0.499690665
0.408839779,0.361637859,0.287518697,0.6,0.767123288,0.162790698,,,0.762430939,0.37606981,0.582350008,0.35,0.890410959,0.440504484
0.436464088,0.696425575,0,0.55,0.917808219,0.093023256,,,0.624309392,0.415170331,0.485624065,0.45,0.780821918,0.419076744
0.44198895,0.448733009,0.20392222,0.7,0.808219178,0.186046512,,,0.662983425,0.382950159,0.282366628,0.35,0.753424658,0.333665525
0.143646409,0.984728981,0.302642513,0.25,0,0.779069767,,,0.662983425,0.524416848,0.434601961,0.4,0.698630137,0.498575437
0.38121547,0.089444538,0.185973076,0.65,0.410958904,0.209302326,,,0.674033149,0.540526934,0.095894964,0.35,0.97260274,0.202723145
0.276243094,0.202550764,0.377763005,0.75,0.232876712,0.360465116,,,0.812154696,0.204900151,0.304636862,0.45,0.506849315,0.431980899
0.386740331,0.247021312,0.379757354,0.7,0.410958904,0.348837209,,,0.574585635,0.344017453,0.357320924,0.6,0.808219178,0.287340711
0.331491713,0.485484142,0.27006814,0.4,0.698630137,0.244186047,,,0.662983425,0.168988085,0.413495097,0.65,0.260273973,0.541491227
0.386740331,0.161268669,0.459697524,0.65,0.356164384,0.372093023,,,0.44198895,0.312636348,0.387734752,0.55,0.630136986,0.341167265
0.430939227,0.232421547,0.472993186,0.4,0.438356164,0.337209302,,,0.447513812,0.256083235,0.326242313,0.4,0.767123288,0.223728261
0.408839779,0.41214969,0.502077447,0.6,0.136986301,0.593023256,,,0.408839779,0.361637859,0.287518697,0.6,0.767123288,0.230832579
0.425414365,0.304245679,0.503739405,0.75,0.178082192,0.581395349,,,0.436464088,0.696425575,0,0.55,0.917808219,0.171137764
0.342541436,0.26078201,0.401362805,0.4,0.808219178,0.186046512,,,0.44198895,0.448733009,0.20392222,0.7,0.808219178,0.212768135
0.342541436,0.405940594,0.42795413,0.5,0.780821918,0.244186047,,,0.143646409,0.984728981,0.302642513,0.25,0,0.843817582
0.458563536,0.696425575,0.269569553,0.65,0.821917808,0.209302326,,,0.38121547,0.089444538,0.185973076,0.65,0.410958904,0.229553949
0.375690608,0.502265481,0.241981054,0.55,0.890410959,0.11627907,,,0.276243094,0.202550764,0.377763005,0.75,0.232876712,0.43013346
0.38121547,0.3646585,0.341033738,0.55,0.835616438,0.197674419,,,0.386740331,0.247021312,0.379757354,0.7,0.410958904,0.396091057
0.392265193,0.551938245,0.512381586,0.6,0.602739726,0.430232558,,,0.331491713,0.485484142,0.27006814,0.4,0.698630137,0.29796902
0.651933702,0.08558483,0.636529832,0.5,0.068493151,0.674418605,,,0.386740331,0.161268669,0.459697524,0.65,0.356164384,0.427786958
0.447513812,0.380768585,0.63071298,0.6,0.739726027,0.360465116,,,0.430939227,0.232421547,0.472993186,0.4,0.438356164,0.449082108
0.889502762,0.338647424,0.719793917,0.4,0.082191781,1,,,0.408839779,0.41214969,0.502077447,0.6,0.136986301,0.682115357
0.906077348,0.268333613,0.766162539,0.25,0.136986301,0.988372093,,,0.425414365,0.304245679,0.503739405,0.75,0.178082192,0.611944375
0.607734807,0.319516697,0.760013296,0.45,0.219178082,0.802325581,,,0.342541436,0.26078201,0.401362805,0.4,0.808219178,0.210247723
0.585635359,0.338647424,0.764999169,0.5,0.136986301,0.813953488,,,0.342541436,0.405940594,0.42795413,0.5,0.780821918,0.297942372
0.55801105,0.319516697,0.771647,0.5,0.712328767,0.488372093,,,0.458563536,0.696425575,0.269569553,0.65,0.821917808,0.356675314
0.55801105,0.359288471,0.695695529,0.4,0.849315068,0.395348837,,,0.375690608,0.502265481,0.241981054,0.55,0.890410959,0.200273291
0.552486188,0.476254405,0.481801562,0.3,0.794520548,0.337209302,,,0.38121547,0.3646585,0.341033738,0.55,0.835616438,0.21771199
0.44198895,0.597080047,0.276882167,0.65,0.808219178,0.279069767,,,0.392265193,0.551938245,0.512381586,0.6,0.602739726,0.506952163
0.403314917,0.584158416,0.441415988,0.55,0.726027397,0.38372093,,,0.651933702,0.08558483,0.636529832,0.5,0.068493151,0.716645187
0.486187845,0.446551435,0.92321755,0.45,0.739726027,0.569767442,,,0.447513812,0.380768585,0.63071298,0.6,0.739726027,0.436232597
0.436464088,0.646081557,0.886820675,0.65,0.684931507,0.61627907,,,0.889502762,0.338647424,0.719793917,0.4,0.082191781,0.941447684
0.508287293,0.50914583,0.95828486,0.55,0.643835616,0.697674419,,,0.906077348,0.268333613,0.766162539,0.25,0.136986301,0.916945043
0.679558011,0.341668065,0.970583347,0.4,0.671232877,0.697674419,,,0.607734807,0.319516697,0.760013296,0.45,0.219178082,0.794725162
0.453038674,0.402080886,0.67242812,0.3,0.931506849,0.290697674,,,0.585635359,0.338647424,0.764999169,0.5,0.136986301,0.838734341
0.491712707,0.516865246,0.285191956,0.25,0.835616438,0.244186047,,,0.55801105,0.319516697,0.771647,0.5,0.712328767,0.531290384
0.563535912,0.603121329,0.586338707,0.3,0.780821918,0.465116279,,,0.55801105,0.359288471,0.695695529,0.4,0.849315068,0.445813743
0.64640884,0.428091962,0.946983547,0.35,0.712328767,0.662790698,,,0.552486188,0.476254405,0.481801562,0.3,0.794520548,0.422374185
0.569060773,0.528276556,0.684228021,0.3,0.780821918,0.5,,,0.44198895,0.597080047,0.276882167,0.65,0.808219178,0.317788974
0.53038674,0.425071321,0.322253615,0.45,0.904109589,0.186046512,,,0.403314917,0.584158416,0.441415988,0.55,0.726027397,0.42868798
0.541436464,0.394529283,0.555260096,0.2,0.780821918,0.38372093,,,0.486187845,0.446551435,0.92321755,0.45,0.739726027,0.630039968
0.541436464,0.412820943,0.352999834,0.3,0.835616438,0.26744186,,,0.436464088,0.646081557,0.886820675,0.65,0.684931507,0.704971418
0.629834254,0.332606142,0.289679242,0.2,0.904109589,0.186046512,,,0.508287293,0.50914583,0.95828486,0.55,0.643835616,0.726720864
0.696132597,0.399060245,0.92205418,0.45,0.726027397,0.686046512,,,0.679558011,0.341668065,0.970583347,0.4,0.671232877,0.702953543
0.662983425,0.386809867,0.759680904,0.4,0.767123288,0.546511628,,,0.453038674,0.402080886,0.67242812,0.3,0.931506849,0.383883842
0.878453039,0.454942104,0.346019611,0.5,0.821917808,0.337209302,,,0.491712707,0.516865246,0.285191956,0.25,0.835616438,0.305290071
0.773480663,0.407450915,0.420807711,0.35,0.849315068,0.360465116,,,0.563535912,0.603121329,0.586338707,0.3,0.780821918,0.54162602
0.767955801,0.532807518,0.647664949,0.35,0.767123288,0.558139535,,,0.64640884,0.428091962,0.946983547,0.35,0.712328767,0.701032793
0.613259669,0.339486491,0.51221539,0.2,0.876712329,0.302325581,,,0.569060773,0.528276556,0.684228021,0.3,0.780821918,0.558599376
0.784530387,0.470884377,0.722619245,0.15,0.821917808,0.546511628,,,0.53038674,0.425071321,0.322253615,0.45,0.904109589,0.250469822
0.790055249,0.583319349,0.748545787,0.1,0.849315068,0.558139535,,,0.541436464,0.394529283,0.555260096,0.2,0.780821918,0.430546097
0.784530387,0.428931029,0.809872029,0,0.849315068,0.569767442,,,0.541436464,0.412820943,0.352999834,0.3,0.835616438,0.305432763
0.784530387,0.387648934,0.698853249,0.15,0.808219178,0.5,,,0.629834254,0.332606142,0.289679242,0.2,0.904109589,0.234498857
1,0.389159255,0.730596643,0.05,0.575342466,0.779069767,,,0.696132597,0.399060245,0.92205418,0.45,0.726027397,0.679277553
0.70718232,0.432790737,0.691540635,0.25,0.767123288,0.534883721,,,0.662983425,0.386809867,0.759680904,0.4,0.767123288,0.564027729
0.756906077,0.417351905,0.643510055,0.25,0.739726027,0.511627907,,,0.878453039,0.454942104,0.346019611,0.5,0.821917808,0.421628672
0.668508287,0.347038094,0.582183813,0.3,0.780821918,0.406976744,,,0.773480663,0.407450915,0.420807711,0.35,0.849315068,0.398395141
0.629834254,0.315824803,0.531992687,0.25,0.726027397,0.38372093,,,0.767955801,0.532807518,0.647664949,0.35,0.767123288,0.607846844
0.629834254,0.516865246,0.63187635,0.55,0.726027397,0.5,,,0.613259669,0.339486491,0.51221539,0.2,0.876712329,0.35741788
0.591160221,0.207249539,0.612265248,0.35,0.890410959,0.290697674,,,0.784530387,0.470884377,0.722619245,0.15,0.821917808,0.60360598
0.674033149,0.353247189,0.16220708,0.5,0.794520548,0.209302326,,,0.790055249,0.583319349,0.748545787,0.1,0.849315068,0.656809506
0.502762431,0.116965934,0.206082765,0.35,0.98630137,0.034883721,,,0.784530387,0.428931029,0.809872029,0,0.849315068,0.621103277
0.497237569,0.172008726,0.35117168,0.6,0.753424658,0.186046512,,,0.784530387,0.387648934,0.698853249,0.15,0.808219178,0.561500067
0.46961326,0.308105387,0.14093402,0.5,0.849315068,0.104651163,,,1,0.389159255,0.730596643,0.05,0.575342466,0.767185463
0.364640884,0.238462829,0.371447565,0.65,0.561643836,0.23255814,,,0.70718232,0.432790737,0.691540635,0.25,0.767123288,0.57091664
0.359116022,0.34485652,0.222868539,0.45,0.657534247,0.220930233,,,0.756906077,0.417351905,0.643510055,0.25,0.739726027,0.569233893
0.35359116,0.513005538,0.348512548,0.55,0.383561644,0.453488372,,,0.668508287,0.347038094,0.582183813,0.3,0.780821918,0.456974241
0.325966851,0.266823292,0.068472661,0.4,0.780821918,0.093023256,,,0.629834254,0.315824803,0.531992687,0.25,0.726027397,0.436421321
0.35359116,0.153717067,0.283529998,0.55,0.479452055,0.209302326,,,0.629834254,0.516865246,0.63187635,0.55,0.726027397,0.562630155
0.408839779,0.159758349,0.264417484,0.8,0.205479452,0.348837209,,,0.591160221,0.207249539,0.612265248,0.35,0.890410959,0.32757569
0.320441989,0.176539688,0.292670766,0.5,0.630136986,0.151162791,,,0.674033149,0.353247189,0.16220708,0.5,0.794520548,0.236095878
0.314917127,0.386138614,0.086421805,0.55,0.945205479,0.034883721,,,0.502762431,0.116965934,0.206082765,0.35,0.98630137,0.008786992
0.287292818,0.477093472,0.101878012,0.8,0.890410959,0.034883721,,,0.497237569,0.172008726,0.35117168,0.6,0.753424658,0.211655298
0.049723757,0.135257594,0.126807379,0.9,0.575342466,0.081395349,,,0.46961326,0.308105387,0.14093402,0.5,0.849315068,0.114917646
0.232044199,0.188118812,0.313279043,0.6,0.561643836,0.174418605,,,0.364640884,0.238462829,0.371447565,0.65,0.561643836,0.30669509
0.337016575,0.219499916,0.34053515,0.6,0.164383562,0.406976744,,,0.359116022,0.34485652,0.222868539,0.45,0.657534247,0.23865662
0.259668508,0.37455949,0.323749377,0.75,0.684931507,0.255813953,,,0.35359116,0.513005538,0.348512548,0.55,0.383561644,0.510220473
0.198895028,0.251552274,0.383247466,0.6,0.808219178,0.127906977,,,0.325966851,0.266823292,0.068472661,0.4,0.780821918,0.055972626
0.254143646,0.254572915,0.346019611,0.5,0.726027397,0.220930233,,,0.35359116,0.153717067,0.283529998,0.55,0.479452055,0.268058621
0.259668508,0.444873301,0.041881336,0.7,0.890410959,0.104651163,,,0.408839779,0.159758349,0.264417484,0.8,0.205479452,0.406690439
0.060773481,0.483973821,0.322752202,0.7,0.04109589,0.488372093,,,0.320441989,0.176539688,0.292670766,0.5,0.630136986,0.198033151
0.149171271,0.312636348,0.081934519,0.7,0.232876712,0.337209302,,,0.314917127,0.386138614,0.086421805,0.55,0.945205479,0.024239908
0.320441989,0.447222688,0.312281868,1,0.931506849,0.104651163,,,0.287292818,0.477093472,0.101878012,0.8,0.890410959,0.080902783
0.209944751,0.239301896,0.352833638,0.85,0.780821918,0.151162791,,,0.049723757,0.135257594,0.126807379,0.9,0.575342466,0.024164292
0.198895028,0.370028528,0.282699019,0.6,0.657534247,0.209302326,,,0.232044199,0.188118812,0.313279043,0.6,0.561643836,0.21695889
0.259668508,0.324215472,0.47598471,0.75,0.671232877,0.23255814,,,0.337016575,0.219499916,0.34053515,0.6,0.164383562,0.47946511
0.513812155,0.407450915,0.481801562,0.75,0.315068493,0.523255814,,,0.259668508,0.37455949,0.323749377,0.75,0.684931507,0.24433083
0.596685083,0.194160094,0.425627389,0.5,0.273972603,0.511627907,,,0.198895028,0.251552274,0.383247466,0.6,0.808219178,0.144206521
0.392265193,0.311126028,0.440418813,0.25,0.794520548,0.220930233,,,0.254143646,0.254572915,0.346019611,0.5,0.726027397,0.19035254
0.331491713,0.402080886,0.555093901,0.75,0.547945205,0.406976744,,,0.259668508,0.444873301,0.041881336,0.7,0.890410959,0.032666792
0.453038674,0.379258265,0.619577863,0.4,0.452054795,0.488372093,,,0.060773481,0.483973821,0.322752202,0.7,0.04109589,0.563093751
0.348066298,0.465514348,0.510719628,0.4,0.904109589,0.197674419,,,0.149171271,0.312636348,0.081934519,0.7,0.232876712,0.295443428
0.375690608,0.353247189,0.56340369,0.6,0.863013699,0.26744186,,,0.320441989,0.447222688,0.312281868,1,0.931506849,0.152493164
0.359116022,0.424232254,0.585341532,0.4,0.835616438,0.279069767,,,0.209944751,0.239301896,0.352833638,0.85,0.780821918,0.129629839
0.397790055,0.588689377,0.698687053,0.6,0.698630137,0.476744186,,,0.198895028,0.370028528,0.282699019,0.6,0.657534247,0.224061196
0.386740331,0.530625944,0.43975403,0.45,0.753424658,0.313953488,,,0.259668508,0.324215472,0.47598471,0.75,0.671232877,0.304664059
0.61878453,0.33797617,0.749044374,0.4,0.575342466,0.569767442,,,0.513812155,0.407450915,0.481801562,0.75,0.315068493,0.604242064
0.552486188,0.412820943,0.692039222,0.35,0.726027397,0.488372093,,,0.596685083,0.194160094,0.425627389,0.5,0.273972603,0.538352713
0.546961326,0.481624434,0.625560911,0.45,0.767123288,0.441860465,,,0.392265193,0.311126028,0.440418813,0.25,0.794520548,0.281195693
0.491712707,0.650612519,0.791590494,0.4,0.630136986,0.674418605,,,0.331491713,0.402080886,0.555093901,0.75,0.547945205,0.4638144
0.535911602,0.409800302,0.807545288,0.4,0.794520548,0.476744186,,,0.453038674,0.379258265,0.619577863,0.4,0.452054795,0.587612223
0.569060773,0.515354925,0.810204421,0.5,0.808219178,0.534883721,,,0.348066298,0.465514348,0.510719628,0.4,0.904109589,0.309112458
0.486187845,0.567209263,0.695695529,0.45,0.630136986,0.581395349,,,0.375690608,0.353247189,0.56340369,0.6,0.863013699,0.305496799
0.546961326,0.451082396,0.713977065,0.5,0.712328767,0.534883721,,,0.359116022,0.424232254,0.585341532,0.4,0.835616438,0.36617006
0.585635359,0.470884377,0.85158717,0.4,0.767123288,0.581395349,,,0.397790055,0.588689377,0.698687053,0.6,0.698630137,0.568980186
0.55801105,0.451082396,0.972245305,0.45,0.657534247,0.73255814,,,0.386740331,0.530625944,0.43975403,0.45,0.753424658,0.389370081
0.513812155,0.429602282,0.714641848,0.4,0.808219178,0.441860465,,,0.61878453,0.33797617,0.749044374,0.4,0.575342466,0.621299488
0.552486188,0.44336298,0.656473326,0.4,0.821917808,0.418604651,,,0.552486188,0.412820943,0.692039222,0.35,0.726027397,0.531474457
0.679558011,0.620070482,0.846767492,0.4,0.643835616,0.744186047,,,0.546961326,0.481624434,0.625560911,0.45,0.767123288,0.501950157
0.790055249,0.521396207,1,0.2,0.684931507,0.825581395,,,0.491712707,0.650612519,0.791590494,0.4,0.630136986,0.715675137
0.662983425,0.493874811,0.679408343,0.3,0.876712329,0.430232558,,,0.535911602,0.409800302,0.807545288,0.4,0.794520548,0.545399362
0.740331492,0.370028528,0.822669104,0.25,0.780821918,0.581395349,,,0.569060773,0.515354925,0.810204421,0.5,0.808219178,0.592574823
0.712707182,0.363148179,0.830812697,0.3,0.794520548,0.581395349,,,0.486187845,0.567209263,0.695695529,0.45,0.630136986,0.626605759
0.740331492,0.408961235,0.893634702,0.25,0.739726027,0.674418605,,,0.546961326,0.451082396,0.713977065,0.5,0.712328767,0.558063481
0.723756906,0.49924484,0.293003158,0.25,0.876712329,0.26744186,,,0.585635359,0.470884377,0.85158717,0.4,0.767123288,0.623855617
0.850828729,0.432790737,0.894133289,0.3,0.739726027,0.709302326,,,0.55801105,0.451082396,0.972245305,0.45,0.657534247,0.72039104
0.718232044,0.434301057,0.809207246,0.2,0.671232877,0.674418605,,,0.513812155,0.429602282,0.714641848,0.4,0.808219178,0.4942209
0.729281768,0.446551435,0.724281203,0.4,0.684931507,0.627906977,,,0.552486188,0.44336298,0.656473326,0.4,0.821917808,0.476199318
0.70718232,0.522906528,0.79292006,0.4,0.712328767,0.662790698,,,0.679558011,0.620070482,0.846767492,0.4,0.643835616,0.779844531
0.70718232,0.552777312,0.786770816,0.35,0.698630137,0.662790698,,,0.790055249,0.521396207,1,0.2,0.684931507,0.833828772
0.679558011,0.334116462,0.761675253,0.15,0.739726027,0.534883721,,,0.662983425,0.493874811,0.679408343,0.3,0.876712329,0.520506117
0.679558011,0.397549924,0.813860728,0.2,0.712328767,0.593023256,,,0.740331492,0.370028528,0.822669104,0.25,0.780821918,0.611301291
0.723756906,0.477764726,0.793751039,0.2,0.835616438,0.534883721,,,0.712707182,0.363148179,0.830812697,0.3,0.794520548,0.594595101
0.624309392,0.509984897,0.697191291,0.3,0.767123288,0.488372093,,,0.740331492,0.408961235,0.893634702,0.25,0.739726027,0.685078833
0.856353591,0.282094311,0.212564401,0.25,0.684931507,0.313953488,,,0.723756906,0.49924484,0.293003158,0.25,0.876712329,0.351138241
0.690607735,0.458633999,0.566727605,0.2,0.849315068,0.372093023,,,0.850828729,0.432790737,0.894133289,0.3,0.739726027,0.727460021
0.906077348,0.437992952,0.401695197,0.2,0.561643836,0.546511628,,,0.718232044,0.434301057,0.809207246,0.2,0.671232877,0.684828909
0.685082873,0.343346199,0.618082101,0.4,0.780821918,0.430232558,,,0.729281768,0.446551435,0.724281203,0.4,0.684931507,0.63532659
0.635359116,0.43195167,0.543792588,0.3,0.712328767,0.453488372,,,0.70718232,0.522906528,0.79292006,0.4,0.712328767,0.682977478
0.585635359,0.322705152,0.472328403,0.5,0.04109589,0.720930233,,,0.70718232,0.552777312,0.786770816,0.35,0.698630137,0.702536428
